id	emotion	text
355	fear	I was convinced that someonne had broken into my flat and I   woke up and heard sounds that frightened me.
356	sadness	I feel helpless after having tried to help someone without   any result.
357	disgust	I think now about the way my father behaved filing a   divorce.
358	shame	"as an 8 year old, I wet myself in school."
359	guilt	"as a 7 year old, I stole money from my mother."
360	neutral	I recently got a very positive answer from a clinic telling   me that they would willingly assist and collect data for me for a   clinical pilot study.
361	fear	Every time I meet a certain dog that has once bitten me.
362	anger	after a lot of provocation my child threw a plate on the   floor.
363	sadness	I realized that I could not communicate properly with my   closest friend.
364	disgust	I tried to explain to my child as to why there were   magazines wiith naked girls on them at the kiosk.
365	shame	I stole a packet of cigarettes from a neighbour  and the   next day I owned up and returned it.
366	neutral	"I began dansing, the teacher came and told me that I was   very good and would soon get into the ballet academy. "
367	fear	"A late Saturday night I found myself locked in the central   underground station of Stockholm with a group of 50 hard rockers   who were drunk and equipped with various kinds of chains, etc."
368	anger	"I was forced to call the telephone company about a bill   concerning a disconnected phone belonging to my landlord.  The   bill was four months overdue and in the meanwhile he had been   using my phone, he seemed to have no intention of having his own   phone reconnected."
369	sadness	Whenever I read or think about the way people treat animals and   nature.
370	disgust	I saw a T.V programme on animals in the film world   (mistreated and used).
371	guilt	"I ""hated"" one of mmy flatmates who was nice to me."
372	neutral	my 6 month old son is happy and well.
373	fear	A four year girl ran away from her father straight in front of my   car.  I was forced to use the emergency brakes.
374	anger	[ After an examine I had been satisfied with.]
375	sadness	a colleague failed to contact me at the arranged time.
376	disgust	I read racist slogans on the walls.
377	shame	About Sweden's arms exports.
378	guilt	Not doing something I had promised.
379	neutral	I gave birth to a healthy boy.
380	fear	my husband and I spent a night by ourselves in a house which   was in an area on the outskirts of a large town with which we were    not familiar.  We  heard strange noises outside the house and the    house had glass walls so the whole thing was even more   frightening.
381	sadness	my daughter had problems with her friends and I could see   her predicament from the window.  She was given a the cold   shoulder.
382	disgust	"I was an auxiliary nurse at the hospital and I had to change   the nappies, for the first time, of a very old and sick woman."
383	shame	friends found out that I had been lying about where I had   been on a particular occasion.
384	neutral	my husband and I decided to take a few days holiday after a   particularly trying period.
385	fear	Before a hospital visit prior to a D&C under anasthesia for an   expected miscarriage.
386	anger	Exchange of points of view with my sister on a family matter.
387	sadness	Treatment to become pregnant with a negative result.
388	disgust	"I woke up one morning and went to the kitchen I discovered   that our dog had diarrhoea.  There were small ""piles"" all over   the floor and the smell was choking."
389	shame	"I was young, about 6 or 7, I did not make it to the toilet   on time.  I hid the dirty trousers in the cellar as I feared it  being discovered by my parents."
390	guilt	At work a boy was injured because of my lack of supervision.
391	neutral	I gave birth to a child and saw that it was normal it   was put against my breast.
392	fear	During labour the foetal sounds became faint and there was a   big alert for a forceps delivery.
393	anger	"At a cash desk where I had gone to buy 16 rolls of kitchen paper   at a reduced price.  After queuing with screaming children; it   turned out that I had taken two 8 roll packets instead of the one   16 roll packet to which the rebate applied.  The assistant said   ""You will have to get it another time."""
394	sadness	I first heard that Tage Dannielsson had died.
